Date,incidents,total_delay
28-May-23,72,1455
28-Nov-23,136,3434
28-Oct-23,140,3244
28-Sep-23,149,3095
29-Apr-23,93,1329
29-Aug-23,170,2579
29-Dec-23,157,2296
29-Jan-23,86,2876
29-Jul-23,185,3696
29-Jun-23,141,2417
29-Mar-23,117,3007
29-May-23,106,2215
29-Nov-23,172,3086
29-Oct-23,107,2000
29-Sep-23,111,2891
3-Apr-23,97,1188
3-Aug-23,129,2406
3-Dec-23,104,1441
3-Feb-23,135,2346
3-Jan-23,94,1902
3-Jul-23,86,1406
3-Jun-23,107,1422
3-Mar-23,76,3017
3-May-23,153,2484
3-Nov-23,169,2851
3-Oct-23,194,3465
3-Sep-23,92,2208
30-Apr-23,59,949
30-Aug-23,137,1984
30-Dec-23,171,3040
30-Jan-23,101,2089
30-Jul-23,125,2251
30-Jun-23,134,3406
30-Mar-23,113,2325
30-May-23,131,2694
30-Nov-23,176,2890
30-Oct-23,155,3148
30-Sep-23,182,3663
31-Aug-23,137,1833
31-Dec-23,132,2294
31-Jan-23,105,3275
31-Jul-23,119,2066
31-Mar-23,134,2257
31-May-23,121,2347
31-Oct-23,190,3418
4-Apr-23,107,1452
4-Aug-23,139,2899
4-Dec-23,154,2614
4-Feb-23,86,1610
4-Jan-23,108,2701
4-Jul-23,127,2131
4-Jun-23,86,1945
4-Mar-23,198,7956
4-May-23,138,2156
4-Nov-23,159,2730
4-Oct-23,150,2173
4-Sep-23,124,2766
5-Apr-23,144,2185
5-Aug-23,183,2947
5-Dec-23,140,3291
5-Feb-23,87,2343
5-Jan-23,88,1774
5-Jul-23,146,3199
5-Jun-23,116,4381
5-Mar-23,94,2699
5-May-23,102,2101
5-Nov-23,117,1570
5-Oct-23,165,2294
5-Sep-23,172,3626
6-Apr-23,99,1374
6-Aug-23,105,2340
6-Dec-23,166,2486
6-Feb-23,71,1810
6-Jan-23,115,2296
6-Jul-23,162,2669
6-Jun-23,101,2633
6-Mar-23,213,3298
6-May-23,108,2270
6-Nov-23,146,2216
6-Oct-23,180,3477
6-Sep-23,148,2939
7-Apr-23,63,1028
7-Aug-23,85,1686
7-Dec-23,172,2649
7-Feb-23,92,1243
7-Jan-23,70,1104
7-Jul-23,154,2787
7-Jun-23,128,2915
7-Mar-23,150,3687
7-May-23,91,1882
7-Nov-23,129,2245
7-Oct-23,157,3627
7-Sep-23,159,2252
8-Apr-23,80,1370
8-Aug-23,135,2929
8-Dec-23,199,3311
8-Feb-23,100,1917
8-Jan-23,68,1083
8-Jul-23,120,2098
8-Jun-23,116,2087
8-Mar-23,122,2784
8-May-23,116,1624
8-Nov-23,165,2523
8-Oct-23,106,1797
8-Sep-23,106,1594
9-Apr-23,64,1350
9-Aug-23,168,4076
9-Dec-23,152,3032
9-Feb-23,104,1521
9-Jan-23,90,1307
9-Jul-23,95,1458
9-Jun-23,119,1884
9-Mar-23,125,2306
9-May-23,85,2848
9-Nov-23,155,2251
9-Oct-23,79,1877
9-Sep-23,113,1828
